F:\Udacity\Behavioral-Clonning\IMG\center_2017_04_13_10_01_33_687.jpg,F:\Udacity\Behavioral-Clonning\IMG\left_2017_04_13_10_01_33_687.jpg,F:\Udacity\Behavioral-Clonning\IMG\right_2017_04_13_10_01_33_687.jpg,0,0,0,1.970998E-06
F:\Udacity\Behavioral-Clonning\IMG\center_2017_04_13_10_01_33_770.jpg,F:\Udacity\Behavioral-Clonning\IMG\left_2017_04_13_10_01_33_770.jpg,F:\Udacity\Behavioral-Clonning\IMG\right_2017_04_13_10_01_33_770.jpg,0,0,0,1.628683E-06
F:\Udacity\Behavioral-Clonning\IMG\center_2017_04_13_10_01_33_854.jpg,F:\Udacity\Behavioral-Clonning\IMG\left_2017_04_13_10_01_33_854.jpg,F:\Udacity\Behavioral-Clonning\IMG\right_2017_04_13_10_01_33_854.jpg,0,0,0,7.618493E-07
F:\Udacity\Behavioral-Clonning\IMG\center_2017_04_13_10_01_33_937.jpg,F:\Udacity\Behavioral-Clonning\IMG\left_2017_04_13_10_01_33_937.jpg,F:\Udacity\Behavioral-Clonning\IMG\right_2017_04_13_10_01_33_937.jpg,0,0,0,8.403055E-06
F:\Udacity\Behavioral-Clonning\IMG\center_2017_04_13_10_01_34_021.jpg,F:\Udacity\Behavioral-Clonning\IMG\left_2017_04_13_10_01_34_021.jpg,F:\Udacity\Behavioral-Clonning\IMG\right_2017_04_13_10_01_34_021.jpg,0,0,0,4.50801E-06
F:\Udacity\Behavioral-Clonning\IMG\center_2017_04_13_10_01_34_105.jpg,F:\Udacity\Behavioral-Clonning\IMG\left_2017_04_13_10_01_34_105.jpg,F:\Udacity\Behavioral-Clonning\IMG\right_2017_04_13_10_01_34_105.jpg,0,0,0,3.506876E-06
F:\Udacity\Behavioral-Clonning\IMG\center_2017_04_13_10_01_34_188.jpg,F:\Udacity\Behavioral-Clonning\IMG\left_2017_04_13_10_01_34_188.jpg,F:\Udacity\Behavioral-Clonning\IMG\right_2017_04_13_10_01_34_188.jpg,0,0,0,5.030892E-06
F:\Udacity\Behavioral-Clonning\IMG\center_2017_04_13_10_01_34_271.jpg,F:\Udacity\Behavioral-Clonning\IMG\left_2017_04_13_10_01_34_271.jpg,F:\Udacity\Behavioral-Clonning\IMG\right_2017_04_13_10_01_34_271.jpg,0,0,0,1.827675E-06
F:\Udacity\Behavioral-Clonning\IMG\center_2017_04_13_10_01_34_356.jpg,F:\Udacity\Behavioral-Clonning\IMG\left_2017_04_13_10_01_34_356.jpg,F:\Udacity\Behavioral-Clonning\IMG\right_2017_04_13_10_01_34_356.jpg,0,0,0,1.269101E-06
F:\Udacity\Behavioral-Clonning\IMG\center_2017_04_13_10_01_34_439.jpg,F:\Udacity\Behavioral-Clonning\IMG\left_2017_04_13_10_01_34_439.jpg,F:\Udacity\Behavioral-Clonning\IMG\right_2017_04_13_10_01_34_439.jpg,0,0,0,7.796435E-07
